,parameters,mean,50q
71,v_subj(Neutral).1091,0.40533430103513896,0.40426441832454074
72,v_subj(Neutral).1092,0.4978993990944531,0.49540147186627814
73,v_subj(Neutral).1093,0.4804619750284036,0.4790640683085568
74,v_subj(Neutral).1096,-0.14816058335404583,-0.147481416423066
75,v_subj(Neutral).1097,0.3497580609690109,0.339239432955437
76,v_subj(Neutral).1099,0.33783660329490683,0.3263364680799924
77,v_subj(Neutral).1100,0.19499564806654993,0.19043708390480774
78,v_subj(Neutral).1101,0.09738947987640101,0.09272325810149562
79,v_subj(Neutral).1102,0.2200520835350061,0.21484866019334226
80,v_subj(Neutral).1104,0.4712544252175426,0.46473631819877537
81,v_subj(Neutral).1106,0.5479955106538352,0.5438086865025831
82,v_subj(Neutral).1107,0.5051681166989527,0.5021364691945019
83,v_subj(Neutral).1109,0.6200530750643526,0.6125557973437057
84,v_subj(Neutral).1110,0.6032305606154119,0.6021322006761253
85,v_subj(Neutral).1112,0.33746956388215954,0.3373962865578304
86,v_subj(Neutral).1114,-0.16446035833000774,-0.16174823349534873
87,v_subj(Neutral).1115,0.5827128027277471,0.5799252227953038
88,v_subj(Neutral).1119,0.6987598036116731,0.6992130713764204
89,v_subj(Neutral).1123,0.29655050278214357,0.28851599021759444
90,v_subj(Neutral).1124,0.2860981368857879,0.2768550567333801
